text,label
i am so sick of taking medication for my skin . besides not working at all it makes my face hurt .,0
btw happy # hoppusday everyone,4
"- goodnight everyone i pray you all have a blessing morning . i 'm gon na do 1 more load of laundry , straighten the kitchen , then lay down .",4
username lol its in the works . it make take a while cause the person i want to design it is booked until oct,0
username great new picture ! ! ! it might be a bit long but your new name could be newoldmomwholooksyoung ! ! !,4
"username wow . that 's a lot of messages ! take care pastor , will be praying for you",4
"username ermm where we get given the articles before the exam , then get tested on it good luck too ! xx",0
"username aww no i hate bad exams . its never as bad as ya think tho , i did better on the ones i found hard than on the easy ones lol",0
"username i know i 'm biased -- especially with the poppies in the background and all , but that 's a great pic !",4
username ah ... big pat from me when you do,4
"so tired , but not at the same time - not wanting to go to tafe tomorrow , getting to see bennys though - hmm : |",4
username all i got frm that was no already . no more,0
username i wish i could be at home for easter,0
circus tonight not a fan .,0
soo not qualified to direct traffic . where is my intersection buddy ? ?,0
chillin wit my nephew on his 2nd b-day .... missing my daughter though,0
boy/girl romantic love ? i have not time for it when the only guys i am interested in are as busy as i am ... sad .,0
someone busted out the window in our cadillac and stole our gps . we have no insurance .,0
feeling reallyy reallyy sick,0
"username username cher up , sista , that must be a mistake ; _ ;",0
username glad you enjoyed it !,4
username thank u buddy,4
"username hi david ! just wanted to say good morning , if you 're waking up around now ! lol have an awesome day !",4
"username i met c. vallerina ! and mr jiow . it was alrite just went there to check things out and all , chijtp has now been 'cleaned ' alr",4
"username 100,000 / 60 = 1667 words/day . 1667 / 10 = 167 words/hour . 167 / 60 = 2.8 words/minute . no pressure .",4
just found out that in korea they call a & quot ; swiss army knife & quot ; a & quot ; mcguyver knife & quot ;,4
username link to your tune is unavailable,0
"username .... three new tyres in a week is not good . two would have done another month , one another year .",0
"happy father 's day , dad . wish i could tell him in person ... or at least by direct contact",0
wish i knew who iheart3boyz wish i wsnt single wish i had 100 followers wish all these wishes wer true i need a fairy god mother lolz,0
username i do n't they have fixed it . there are over 8000 complaints and growing . plus i ca n't see your picture on tweetdeck,0
school ; packingg ferr upp northh yay ! its fridayy [ : i love youu kendall & lt ; 3 .,4
username no i didnt get it did you send it to my uni address yea ? xx,0
home for the night gon na go to stumble upon which is a great website ! haha,4
username i am in tx ... missing thunder username home,0
"msn just died on me . : / oh well , off to study",0
is going to work,4
username aww como to brazill alexx,0
username hope flesh is home and feeling better . night night,4
"went to 2 build-a-bear workshops but they had no david archuleta shirts already and went to barnes & amp ; noble , no david lifestory mag",0
i spent an hour this morning going through yearbooks to see when each senior started to harleton . my speech will be so boring .,0
username τι έκανα,0
i missed the jonas brothers on & quot ; today show & quot ; i was too busy sleeping haha,0
on my first cup of coffee . ca n't wake up .,0
username that 's actually 4 words,4
yay ! cookies from jab !,4
username you have one as well ... great to hear from you,4
is back from a weekend get away,4
"sasha 's helped too , of course",4
"yay , st. mary 's here i come",4
wishing i was in bcn now for sonar music festival,0
@ gypsytrading,4
going to bed again niighty,4
"i 'm off to get my hair done , then lunch with karen & amp ; ross",4
username our boy ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,4
going out in the sun now,4
eating girl guide cookies,4
bowling tonight & lt ; 333 i feel left out cause becca and ginger are talking to each other over twitter and not me hahhahahahahahhaaha,0
is hoping to meet new people,4
you know . tracks that will change your life,4
url,4
gayy gatta go back out to hang with brett and anthony ! it was funner when colin was there,4
username say hi nikki pleasee ... lol . ( soulja boy tell 'em live live & gt ; url ),4
"username same feeling too , bby we will .",4
"username when that gal asked me if i were an imposter , i was hoping for a doppelganger that i could use as an alibi",4
way to go # braves ! last 4 seasons : june comes and they fall apart .,0
"still feeling tired , tink will go take a nap again n wake up durin dinner time .",4
username i wish you still loved me,0
